,Date,Open,High,Low,Close,Volume,Year,Sentiment,SPY
1096,2014-05-13,344.45,354.27,340.74,347.14,2976000.0,2014,,347.14
1097,2014-05-14,347.05,354.4,346.06,351.88,2841700.0,2014,,351.88
1098,2014-05-15,350.85,351.79,339.38,344.19,3338600.0,2014,,344.19
1099,2014-05-16,345.47,349.97,339.84,349.88,2724600.0,2014,,349.88
1100,2014-05-19,347.0,367.222,346.5525,364.5,3627600.0,2014,,364.5
1101,2014-05-20,365.01,372.7,362.4,371.67,4118300.0,2014,,371.67
1102,2014-05-21,375.12,390.69,373.35,390.6,5705700.0,2014,1.0,390.6
1103,2014-05-22,390.88,397.5,387.5,391.8,4746100.0,2014,,391.8
1104,2014-05-23,391.64,402.47,389.661,402.35,3160300.0,2014,,402.35
1105,2014-05-27,402.0,402.22,393.15,398.81,3819300.0,2014,,398.81
1106,2014-05-28,397.2,405.2,393.5,401.24,2839100.0,2014,,401.24
1107,2014-05-29,403.4,415.99,399.55,415.2,3263500.0,2014,,415.2
1108,2014-05-30,415.18,421.74,411.61,417.83,4178400.0,2014,,417.83
1109,2014-06-02,419.48,422.91,412.5,422.06,2925800.0,2014,,422.06
1110,2014-06-03,419.99,425.6,417.05,417.57,2447600.0,2014,,417.57
1111,2014-06-04,416.76,424.5,413.3,423.21,2490400.0,2014,,423.21
1112,2014-06-05,423.75,429.4,418.57,428.35,2704400.0,2014,,428.35
1113,2014-06-06,430.01,434.89,428.36,430.13,2247200.0,2014,,430.13
1114,2014-06-09,429.5,430.65,420.09,423.09,2382700.0,2014,,423.09
1115,2014-06-10,425.52,436.04,425.02,428.29,3274300.0,2014,,428.29
1116,2014-06-11,425.23,432.6,425.0,430.0,1963700.0,2014,,430.0
1117,2014-06-12,429.07,430.2474,420.5,422.45,2257600.0,2014,,422.45
1118,2014-06-13,423.0,427.9,417.21,427.71,2254100.0,2014,,427.71
1119,2014-06-16,426.53,431.21,423.42,430.26,1786600.0,2014,,430.26
